x	y	z	name	time	head	stat	flag
217058	198439	51.99	000131	0	53.71	1	3
217030	198496	NA	000132	0	53.85	1	3
217154	198541	51.26	000133	0	53.55	1	3
216880	198530	51.71	000134	0	52.97	1	3
216900	198458	51.82	000135	0	53.25	1	3
216925	198379	51.15	000136	0	53.25	1	3
216965	198300	52.27	000137	0	53.03	1	3
216969	198254	51.9	000138	0	53.33	1	3
216589	198215	50.42	000139	0	51.76	1	3
216584	198269	50.58	000140	0	51.83	1	3
216947	198063	56.43	000141	0	57.04	1	3
216851	198162	52.26	000142	0	53.81	1	3
216785	198435	50.56	000143	0	52.17	1	3
216753	198160	51.48	000144	0	53.07	1	3
216729	198210	50.61	000145	0	52.39	1	3
216583	198160	50.06	000146	0	52.08	1	3
217184	198435	51.89	000147	0	53.4	1	3
217036	198569	NA	000148	0	54.41	1	3
217079	198340	51.75	000149	0	53.73	1	3
216826	198345	49.77	000150	0	52.73	1	3
216586	198332	51.23	000151	0	51.84	1	3
216591	198297	51.1	000152	0	51.85	1	3
216624	198412	53.12	000153	0	53.71	1	3
216649	198389	52.71	000154	0	53.27	1	3
216668	198353	51.88	000155	0	52	1	3
216690	198323	51.25	000156	0	52.12	1	3
216704	198287	51.29	000157	0	52.21	1	3
216717	198251	51.34	000158	0	52.09	1	3
216654	198233	51.02	000159	0	51.85	1	3
216650	198258	50.93	000160	0	51.89	1	3
216639	198294	50.77	000161	0	51.89	1	3
216628	198327	50.89	000162	0	51.87	1	3
216623	198372	52.17	000163	0	52.91	1	3
216823	198351	51.89	000164	0	52.51	1	3
216814	198362	51.66	000165	0	52.48	1	3
216797	198362	51.17	000166	0	52.45	1	3
216823	198312	51.8	000167	0	52.38	1	3
216846	198285	51.69	000168	0	52.54	1	3
216835	198288	51.71	000169	0	52.5	1	3
216880	198254	52.13	000170	0	53.12	1	3
216851	198263	51.72	000171	0	52.73	1	3
217567	198172	55.81	000172	0	56.41	1	3
216948	198407	50.6	000173	0	53.55	1	3
216947	198408	51.96	000174	0	53.55	1	3
216802	198391	51.07	000175	0	52.43	1	3
216804	198376	50.96	000176	0	52.46	1	3
216821	198634	55.93	000177	0	56.48	1	3
216942	196878	62.05	000178	0	62.61	1	3
216942	196878	60.41	000179	0	61.93	1	3
216890	196845	59.8	000180	0	61.86	1	3
216731	196833	59.71	000181	0	60.56	1	3
216659	196838	59.22	000182	0	59.88	1	3
216568	196764	58.53	000183	0	58.98	1	3
216334	196575	NA	000184	0	58.85	1	3
216332	196575	56.98	000185	0	57.59	1	3
216241	196529	56.29	000186	0	56.46	1	3
216290	196406	62	000187	0	62.98	1	3
216235	196360	61.78	000188	0	63.45	1	3
215919	197032	NA	000189	0	50.22	1	3
216795	196806	61.28	000190	0	62	1	3
216842	198606	54.49	000191	0	55.41	1	3
214282	197080	41.37	000192	0	42.37	1	3
217985	197987	61.26	000193	0	62.73	1	3
220024	197319	66.8	000194	0	67.52	1	3
220114	197295	66.21	000195	0	67.47	1	3
219017	198882	58.02	000196	0	59.22	1	3
219042	198924	58.54	000197	0	59.61	1	3
218953	198767	57.91	000198	0	58.42	1	3
218666	198697	58.92	000199	0	59.84	1	3
218661	198770	57.14	000200	0	58.33	1	3
218005	198226	58.19	000201	0	59.21	1	3
218005	198167	58.21	000202	0	59.46	1	3
218009	198087	60.27	000203	0	60.91	1	3
217967	198867	55.62	000204	0	56.52	1	3
217963	199002	58.5	000205	0	60.01	1	3
217988	198743	53.78	000206	0	56.08	1	3
218514	198727	56.79	000207	0	57.91	1	3
218512	198771	56.31	000208	0	57.42	1	3
218649	198895	58.1	000209	0	59.64	1	3
219281	198675	59.17	000210	0	59.94	1	3
219295	198794	58.55	000211	0	59.63	1	3
218447	198865	58.57	000212	0	59.31	1	3
218398	199272	60.65	000213	0	61.42	1	3
218306	199374	61.78	000214	0	61.88	1	3
217381	197149	62.12	000215	0	63.17	1	3
220479	196611	68.15	000216	0	68.87	1	3
220483	196609	NA	000217	0	68.5	1	3
220110	198031	64.37	000218	0	66.14	1	3
217054	198920	56.6	000219	0	57.5	1	3
218503	198213	62.48	000220	0	62.77	1	3
218173	198211	60.81	000221	0	61.47	1	3
215831	198356	52.21	000222	0	52.44	1	3
215877	198283	50.64	000223	0	50.93	1	3
221283	198717	66.49	000224	0	67.45	1	3
221191	199281	65.98	000225	0	66.2	1	3
219268	198547	63.9	000226	0	64.27	1	3
218668	198626	60.77	000227	0	60.81	1	3
218519	198586	60.52	000228	0	60.83	1	3
206556	189180	21.92	000229	0	23.03	1	3
206573	189182	21.79	000230	0	22.84	1	3
206580	189184	21.77	000231	0	23.06	1	3
206585	189185	21.65	000232	0	22.79	1	3
206596	189187	21.76	000233	0	23.06	1	3
206580	189812	22.65	000234	0	23.42	1	3
206588	189804	22.6	000235	0	23.59	1	3
208144	190253	NA	000236	0	24.6	1	3
208142	190258	23.06	000237	0	24.74	1	3
208140	190261	NA	000238	0	24.38	1	3
206987	190209	24.01	000239	0	23.93	1	3
206954	190229	23.06	000240	0	24.15	1	3
206936	190255	23.52	000241	0	24.84	1	3
207101	190325	24.57	000242	0	24.47	1	3
207085	190345	24.12	000243	0	24.48	1	3
207051	190388	23.26	000244	0	24.54	1	3
221970	199205	67.14	000245	0	67.3	1	3
222290	197870	68.91	000246	0	69.64	1	3
200417	185367	18.63	000247	0	19.09	1	3
217520	198328	NA	000248	0	55.09	1	3
218316	199278	60.18	000249	0	61.02	1	3
213549	196618	38.92	000250	0	39.66	1	3
213694	196264	40.52	000251	0	41.41	1	3
218992	199679	61.65	000252	0	62.83	1	3
218805	199572	61.55	000253	0	62.45	1	3
218525	199362	60.78	000254	0	61.89	1	3
201393	186160	19.12	000255	0	19.89	1	3
201393	186160	18.77	000256	0	20.2	1	3
217430	198519	53.66	000257	0	54.64	1	3
216842	198278	51.89	000258	0	52.74	1	3
218517	198651	58.85	000259	0	59.98	1	3
218516	198682	58.23	000260	0	59.12	1	3
221680	198616	NA	000261	0	68.07	1	3
220690	198130	67.57	000262	0	68.27	1	3
